longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,state,yearBuilt,latitude,rentZestimate,city,zestimateLowPercent,timeOnZillow,zestimate,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,zestimateHighPercent,homeType_APARTMENT,homeType_CONDO,homeType_LOT,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY
-149.89989,2020.0,386.0,1345,AK,1982.0,61.21068,2337.0,Anchorage,8.0,2440.0,320200.0,1020.0,99501,1.31,2.0,2.0,320200,8.0,1,0,0,0,0,0
-149.89989,2020.0,386.0,1301,AK,1982.0,61.21068,2018.0,Anchorage,11.0,4124.0,309800.0,1100.0,99501,1.31,1.0,2.0,309800,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1305,AK,1982.0,61.21068,2019.0,Anchorage,11.0,4023.0,310600.0,1095.0,99501,1.31,1.0,2.0,310600,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,984,AK,1982.0,61.21068,1887.0,Anchorage,10.0,3996.0,234400.0,903.0,99501,1.31,1.0,1.0,234400,10.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1281,AK,1982.0,61.21068,2203.0,Anchorage,10.0,5202.0,305100.0,1116.0,99501,1.31,1.5,2.0,305100,10.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1221,AK,1982.0,61.21068,2351.0,Anchorage,8.0,3777.0,290600.0,1052.0,99501,1.31,2.0,2.0,290600,8.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1311,AK,1982.0,61.21068,2754.0,Anchorage,11.0,4897.0,312200.0,1566.0,99501,1.31,2.5,2.0,312200,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1208,AK,1982.0,61.21068,2181.0,Anchorage,10.0,4703.0,287500.0,1055.0,99501,1.31,1.5,2.0,287500,10.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1311,AK,1982.0,61.21068,2203.0,Anchorage,9.0,1952.0,312100.0,1116.0,99501,1.31,1.5,2.0,312100,9.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1282,AK,1982.0,61.21068,2181.0,Anchorage,11.0,4164.0,305300.0,1055.0,99501,1.31,1.5,2.0,305300,10.0,0,1,0,0,0,0
-149.90233,2020.0,0.0,1098,AK,1984.0,61.21152,1895.0,Anchorage,9.0,3422.0,261400.0,853.0,99501,1.31,1.0,1.0,261400,9.0,0,1,0,0,0,0
-149.90233,2020.0,0.0,1564,AK,1984.0,61.21152,2446.0,Anchorage,10.0,3602.0,372300.0,1287.0,99501,1.31,2.0,2.0,372300,11.0,0,1,0,0,0,0
-149.90749,2020.0,0.0,1925,AK,1965.0,61.211838,2479.0,Anchorage,11.0,3332.0,458400.0,2660.0,99501,1.31,2.0,4.0,458400,11.0,0,0,0,0,1,0
-149.90486,2020.0,0.0,2461,AK,1948.0,61.211384,2748.0,Anchorage,10.0,2507.0,585900.0,1846.0,99501,1.31,2.0,3.0,585900,11.0,0,0,0,0,0,1
-149.9043,2020.0,0.0,1618,AK,1947.0,61.211384,1771.0,Anchorage,14.0,1399.0,385200.0,957.0,99501,1.31,1.0,1.0,385200,15.0,0,0,0,0,0,1
-149.90587,2020.0,0.0,3003,AK,1965.0,61.21095,4463.0,Anchorage,12.0,4869.0,715100.0,3136.0,99501,1.31,4.5,4.0,715100,13.0,0,0,0,0,0,1
-149.9042,2020.0,439.0,1142,AK,1972.0,61.210255,2299.0,Anchorage,13.0,6007.0,271900.0,1293.0,99501,1.31,1.5,3.0,271900,13.0,0,1,0,0,0,0
-149.91063,2020.0,0.0,2243,AK,1954.0,61.212406,2459.0,Anchorage,13.0,3667.0,534000.0,1820.0,99501,1.31,2.0,2.0,534000,14.0,0,0,0,0,1,0
-149.9081,2020.0,0.0,2291,AK,1953.0,61.211933,2508.0,Anchorage,10.0,4285.0,545400.0,2397.0,99501,1.31,2.0,4.0,545400,11.0,0,0,0,0,1,0
-149.91124,2020.0,0.0,2407,AK,1952.0,61.211384,2311.0,Anchorage,11.0,4424.0,573100.0,1410.0,99501,1.31,1.75,3.0,573100,11.0,0,0,0,0,0,1
-149.91064,2020.0,0.0,2337,AK,1945.0,61.210945,2674.0,Anchorage,14.0,3938.0,556500.0,1692.0,99501,1.31,2.0,3.0,556500,16.0,0,0,0,0,0,1
-149.90901,2020.0,0.0,2378,AK,1957.0,61.210407,2552.0,Anchorage,11.0,7081.0,566200.0,2332.0,99501,1.31,2.0,4.0,566200,11.0,0,0,0,0,1,0
-149.91054,2020.0,0.0,2086,AK,1983.0,61.21054,2984.0,Anchorage,10.0,3802.0,496700.0,1781.0,99501,1.31,3.0,2.0,496700,10.0,0,1,0,0,0,0
-149.89813,2020.0,0.0,2175,AK,1958.0,61.209267,2714.0,Anchorage,9.0,1838.0,517800.0,1773.0,99501,1.31,2.0,3.0,517800,10.0,0,0,0,0,0,1
-149.89813,2020.0,0.0,2573,AK,1960.0,61.20801,3749.0,Anchorage,8.0,1826.0,612500.0,2304.0,99501,1.31,4.0,3.0,612500,9.0,0,0,0,0,0,1
-149.89903,2020.0,0.0,2072,AK,1956.0,61.206593,2704.0,Anchorage,10.0,4285.0,493400.0,1500.0,99501,1.31,2.0,3.0,493400,11.0,0,0,0,0,0,1
-149.89903,2020.0,0.0,1607,AK,1950.0,61.20842,1893.0,Anchorage,15.0,4040.0,382600.0,1470.0,99501,1.31,1.0,2.0,382600,16.0,0,0,0,0,0,1
-149.90018,2020.0,0.0,1535,AK,1947.0,61.20757,2171.0,Anchorage,8.0,3378.0,365400.0,872.0,99501,1.31,1.0,2.0,365400,8.0,0,0,0,0,0,1
-149.90018,2020.0,0.0,1408,AK,1940.0,61.206528,2137.0,Anchorage,15.0,4019.0,335300.0,728.0,99501,1.31,1.0,2.0,335300,15.0,0,0,0,0,0,1
-149.90108,2020.0,0.0,2221,AK,1970.0,61.2073,2808.0,Anchorage,11.0,6952.0,528800.0,1976.0,99501,1.31,2.0,5.0,528800,11.0,0,0,0,0,1,0
-149.90224,2020.0,0.0,3759,AK,1949.0,61.208996,5102.0,Anchorage,5.0,159.0,854300.0,3635.0,99501,1.31,5.0,5.0,895000,5.0,0,0,0,0,0,1
-149.90338,2020.0,0.0,3816,AK,1997.0,61.206497,4127.0,Anchorage,11.0,3888.0,908500.0,4846.0,99501,1.31,5.0,5.0,908500,11.0,0,0,0,0,1,0
-149.9042,2020.0,0.0,2309,AK,1959.0,61.20912,2427.0,Anchorage,8.0,1932.0,549700.0,1704.0,99501,1.31,2.0,3.0,549700,9.0,0,0,0,0,1,0
-149.90312,2020.0,0.0,2470,AK,1950.0,61.20802,2561.0,Anchorage,15.0,4487.0,588200.0,2728.0,99501,1.31,2.0,2.0,588200,17.0,0,0,0,0,0,1
-149.90498,2020.0,0.0,1612,AK,1953.0,61.20755,2004.0,Anchorage,7.0,1736.0,383800.0,1688.0,99501,1.31,1.0,3.0,383800,8.0,0,0,0,0,0,1
-149.9049,2020.0,0.0,2452,AK,1947.0,61.20698,3587.0,Anchorage,13.0,3326.0,583900.0,2746.0,99501,1.31,3.0,3.0,583900,14.0,0,0,0,0,0,1
-149.90579,2020.0,0.0,2048,AK,1958.0,61.208706,2758.0,Anchorage,10.0,4120.0,487700.0,1976.0,99501,1.31,2.0,3.0,487700,11.0,0,0,0,0,0,1
-149.90701,2020.0,0.0,2241,AK,1953.0,61.207504,2820.0,Anchorage,10.0,6223.0,533500.0,1738.0,99501,1.31,2.0,4.0,533500,11.0,0,0,0,0,0,1
-149.90536,2020.0,29.0,4277,AK,1964.0,61.20666,4198.0,Anchorage,13.0,1112.0,1018300.0,3603.0,99501,1.31,4.0,4.0,1018300,15.0,0,0,0,0,0,1
-149.90887,2020.0,0.0,2648,AK,1969.0,61.20645,2094.0,Anchorage,11.0,1734.0,630400.0,1080.0,99501,1.31,1.0,2.0,630400,12.0,0,0,0,0,0,1
-149.91046,2020.0,386.0,2996,AK,1957.0,61.207485,3370.0,Anchorage,12.0,3697.0,713400.0,3382.0,99501,1.31,2.5,3.0,713400,14.0,0,0,0,0,0,1
-149.90855,2020.0,0.0,2373,AK,1963.0,61.207188,2478.0,Anchorage,10.0,4456.0,564900.0,1843.0,99501,1.31,1.75,4.0,564900,10.0,0,0,0,0,0,1
-149.90924,2020.0,8.0,3369,AK,1995.0,61.206753,3214.0,Anchorage,9.0,3158.0,802200.0,1894.0,99501,1.31,2.0,4.0,802200,10.0,0,0,0,0,0,1
-149.90836,2020.0,0.0,2914,AK,1960.0,61.209408,3377.0,Anchorage,14.0,5206.0,693800.0,3559.0,99501,1.31,2.5,3.0,693800,15.0,0,0,0,0,0,1
-149.90926,2020.0,0.0,2607,AK,1960.0,61.20927,2597.0,Anchorage,10.0,3394.0,620700.0,2500.0,99501,1.31,2.0,5.0,620700,11.0,0,0,0,0,1,0
